"date","city_wide_daily_average","trap_days","trap","number","region","region_name"
2015-05-04,1,3,"north_west_1",1,"NW","NW1"
2015-05-04,1,3,"north_west_2",2,"NW","NW2"
2015-05-04,1,3,"north_west_3",1,"NW","NW3"
2015-05-04,1,3,"north_west_4",0,"NW","NW4"
2015-05-04,1,3,"north_west_5",2,"NW","NW5"
2015-05-04,1,3,"north_west_6",0,"NW","NW6"
2015-05-04,1,3,"north_west_7",1,"NW","NW7"
2015-05-04,1,3,"north_east_1",0,"NE","NE1"
2015-05-04,1,3,"north_east_2",2,"NE","NE2"
2015-05-04,1,3,"north_east_3",2,"NE","NE3"
2015-05-04,1,3,"north_east_4",0,"NE","NE4"
2015-05-04,1,3,"north_east_5",3,"NE","NE5"
2015-05-04,1,3,"north_east_6",1,"NE","NE6"
2015-05-04,1,3,"north_east_7",1,"NE","NE7"
2015-05-04,1,3,"south_east_1",0,"SE","SE1"
2015-05-04,1,3,"south_east_2",0,"SE","SE2"
2015-05-04,1,3,"south_east_3",1,"SE","SE3"
2015-05-04,1,3,"south_east_4",2,"SE","SE4"
2015-05-04,1,3,"south_east_5",1,"SE","SE5"
2015-05-04,1,3,"south_east_6",0,"SE","SE6"
2015-05-04,1,3,"south_east_7",1,"SE","SE7"
2015-05-04,1,3,"south_west_1",0,"SW","SW1"
2015-05-04,1,3,"south_west_2",3,"SW","SW2"
2015-05-04,1,3,"south_west_3",1,"SW","SW3"
2015-05-04,1,3,"south_west_4",1,"SW","SW4"
2015-05-04,1,3,"south_west_5",0,"SW","SW5"
2015-05-04,1,3,"south_west_6",2,"SW","SW6"
2015-05-04,1,3,"south_west_7",0,"SW","SW7"
2015-05-06,1,2,"north_west_1",2,"NW","NW1"
2015-05-06,1,2,"north_west_2",1,"NW","NW2"
2015-05-06,1,2,"north_west_3",2,"NW","NW3"
2015-05-06,1,2,"north_west_4",1,"NW","NW4"
2015-05-06,1,2,"north_west_5",3,"NW","NW5"
2015-05-06,1,2,"north_west_6",0,"NW","NW6"
2015-05-06,1,2,"north_west_7",3,"NW","NW7"
2015-05-06,1,2,"north_east_1",2,"NE","NE1"
2015-05-06,1,2,"north_east_2",2,"NE","NE2"
2015-05-06,1,2,"north_east_3",3,"NE","NE3"
2015-05-06,1,2,"north_east_4",1,"NE","NE4"
2015-05-06,1,2,"north_east_5",2,"NE","NE5"
2015-05-06,1,2,"north_east_6",1,"NE","NE6"
2015-05-06,1,2,"north_east_7",1,"NE","NE7"
2015-05-06,1,2,"south_east_1",1,"SE","SE1"
2015-05-06,1,2,"south_east_2",1,"SE","SE2"
2015-05-06,1,2,"south_east_3",0,"SE","SE3"
2015-05-06,1,2,"south_east_4",1,"SE","SE4"
2015-05-06,1,2,"south_east_5",1,"SE","SE5"
2015-05-06,1,2,"south_east_6",1,"SE","SE6"
2015-05-06,1,2,"south_east_7",1,"SE","SE7"
2015-05-06,1,2,"south_west_1",0,"SW","SW1"
2015-05-06,1,2,"south_west_2",3,"SW","SW2"
2015-05-06,1,2,"south_west_3",2,"SW","SW3"
2015-05-06,1,2,"south_west_4",3,"SW","SW4"
2015-05-06,1,2,"south_west_5",0,"SW","SW5"
